Partido;Coalizao;Ano;flagCoalizao
PHS;Dilma 1;2011;0
PHS;Dilma 1;2012;0
PHS;Dilma 2;2012;0
PHS;Dilma 2;2013;0
PHS;Dilma 3;2013;0
PHS;Dilma II 1;2015;0
PHS;Dilma II 2;2015;0
PJ>PTC;Sarney 2;1989;0
PJ>PTC;Collor 2;1990;1
PJ>PTC;Collor 1;1990;0
PJ>PTC;Collor 2;1991;1
PJ>PTC;Collor 3;1991;1
PJ>PTC;Collor 3;1992;1
PJ>PTC;Collor 4;1992;1
PJ>PTC;Itamar 1;1993;0
PJ>PTC;Itamar 2;1993;0
PJ>PTC;Itamar 3;1994;0
PJ>PTC;Lula I 5;2006;0
PJ>PTC;Lula II 1;2007;0
PJ>PTC;Lula II 2;2007;0
PJ>PTC;Lula II 2;2008;0
PJ>PTC;Lula II 2;2009;0
PJ>PTC;Lula II 3;2009;0
PJ>PTC;Lula II 3;2010;0
PJ>PTC;Dilma 1;2011;0
PJ>PTC;Dilma 1;2012;0
PJ>PTC;Dilma 2;2012;0
PJ>PTC;Dilma II 2;2015;0
PJ>PTC;Dilma II 1;2015;0
PL>PR;Sarney 2;1989;0
PL>PR;Collor 1;1990;0
PL>PR;Collor 2;1990;0
PL>PR;Collor 2;1991;0
PL>PR;Collor 3;1991;0
PL>PR;Collor 3;1992;0
PL>PR;Collor 4;1992;1
PL>PR;Itamar 1;1993;0
PL>PR;Itamar 2;1993;0
PL>PR;Itamar 3;1994;0
PL>PR;FHC I 1;1995;0
PL>PR;FHC I 1;1996;0
PL>PR;FHC I 2;1996;0
PL>PR;FHC I 2;1997;0
PL>PR;FHC I 2;1998;0
PL>PR;FHC II 1;1999;0
PL>PR;FHC II 1;2000;0
PL>PR;FHC II 1;2001;0
PL>PR;FHC II 1;2002;0
PL>PR;FHC II 2;2002;0
PL>PR;Lula I 1;2003;1
PL>PR;Lula I 1;2004;1
PL>PR;Lula I 2;2004;1
PL>PR;Lula I 3;2005;1
PL>PR;Lula I 5;2005;1
PL>PR;Lula I 4;2005;1
PL>PR;Lula I 5;2006;1
PL>PR;Lula II 2;2007;1
PL>PR;Lula II 1;2007;1
PL>PR;Lula II 2;2008;1
PL>PR;Lula II 2;2009;1
PL>PR;Lula II 3;2009;1
PL>PR;Lula II 3;2010;1
PL>PR;Dilma 1;2011;1
PL>PR;Dilma 1;2012;1
PL>PR;Dilma 2;2012;1
PL>PR;Dilma 2;2013;1
PL>PR;Dilma 3;2013;1
PL>PR;Dilma 3;2014;1
PL>PR;Dilma II 1;2015;1
PL>PR;Dilma II 2;2015;1
PLP;Sarney 2;1989;0
PMDB;Sarney 2;1989;1
PMDB;Collor 2;1990;0
PMDB;Collor 1;1990;0
PMDB;Collor 2;1991;0
PMDB;Collor 3;1991;0
PMDB;Collor 3;1992;0
PMDB;Collor 4;1992;0
PMDB;Itamar 1;1993;1
PMDB;Itamar 2;1993;1
PMDB;Itamar 3;1994;1
PMDB;FHC I 1;1995;1
PMDB;FHC I 1;1996;1
PMDB;FHC I 2;1996;1
PMDB;FHC I 2;1997;1
PMDB;FHC I 2;1998;1
PMDB;FHC II 1;1999;1
PMDB;FHC II 1;2000;1
PMDB;FHC II 1;2001;1
PMDB;FHC II 1;2002;1
PMDB;FHC II 2;2002;1
PMDB;Lula I 1;2003;0
PMDB;Lula I 1;2004;0
PMDB;Lula I 2;2004;1
PMDB;Lula I 5;2005;1
PMDB;Lula I 3;2005;1
PMDB;Lula I 4;2005;1
PMDB;Lula I 5;2006;1
PMDB;Lula II 1;2007;1
PMDB;Lula II 2;2007;1
PMDB;Lula II 2;2008;1
PMDB;Lula II 2;2009;1
PMDB;Lula II 3;2009;1
PMDB;Lula II 3;2010;1
PMDB;Dilma 1;2011;1
PMDB;Dilma 1;2012;1
PMDB;Dilma 2;2012;1
PMDB;Dilma 2;2013;1
PMDB;Dilma 3;2013;1
PMDB;Dilma 3;2014;1
PMDB;Dilma II 2;2015;1
PMDB;Dilma II 1;2015;1
PMN;Sarney 2;1989;0
PMN;Collor 1;1990;0
PMN;Collor 2;1991;0
PMN;Collor 3;1991;0
PMN;Itamar 3;1994;0
PMN;FHC I 1;1995;0
PMN;FHC I 1;1996;0
PMN;FHC I 2;1996;0
PMN;FHC I 2;1997;0
PMN;FHC I 2;1998;0
PMN;Lula I 1;2003;0
PMN;Lula II 1;2007;0
PMN;Lula II 2;2007;0
PMN;Lula II 2;2008;0
PMN;Lula II 2;2009;0
PMN;Lula II 3;2009;0
PMN;Lula II 3;2010;0
PMN;Dilma 1;2011;0
PMN;Dilma 1;2012;0
PMN;Dilma 2;2012;0
PMN;Dilma 2;2013;0
PMN;Dilma 3;2013;0
PMN;Dilma 3;2014;0
PMN;Dilma II 2;2015;0
PMN;Dilma II 1;2015;0
PMR>PRB;Lula I 5;2005;0
PMR>PRB;Lula I 5;2006;0
PMR>PRB;Lula II 1;2007;1
PMR>PRB;Lula II 2;2007;1
PMR>PRB;Lula II 2;2008;1
PMR>PRB;Lula II 2;2009;1
PMR>PRB;Lula II 3;2009;1
PMR>PRB;Lula II 3;2010;1
PMR>PRB;Dilma 1;2011;0
PMR>PRB;Dilma 1;2012;0
PMR>PRB;Dilma 2;2012;1
PMR>PRB;Dilma 2;2013;1
PMR>PRB;Dilma 3;2013;1
PMR>PRB;Dilma 3;2014;1
