"Ano","Partido","flCoalizao","lflCoalizao"
2015,"PRTB",0,FALSE
2015,"PSB",0,FALSE
2015,"PSC",0,FALSE
2015,"PSD",1,TRUE
2015,"PSDB",0,FALSE
2015,"PSDC",0,FALSE
2015,"PSL",0,FALSE
2015,"PSOL",0,FALSE
2015,"PT",1,TRUE
2015,"PTB",1,TRUE
2015,"PTC",0,FALSE
2015,"PTDOB",0,FALSE
2015,"PTN",0,FALSE
2015,"PV",0,FALSE
2015,"SDD",0,FALSE
